least,average,iterations,runtime(sec), is state unique,is exit reachable
270,526,5,6,True,True
274,303,5,4,True,True
77,77,1,0,True,True
552,552,1,1,True,True
187,515,5,6,True,True
123,227,5,3,True,True
599,599,5,8,True,True
140,320,5,4,True,True
172,172,1,0,True,True
114,338,10,8,True,True
348,348,1,1,True,True
253,405,5,7,True,True
362,362,1,2,True,True
160,160,1,1,True,True
79,415,10,16,True,True
79,149,5,2,True,True
149,497,5,11,True,True
140,368,5,7,True,True
107,262,5,4,True,True
200,333,5,6,True,True
118,239,5,6,True,True
50,132,5,3,True,True
443,443,5,7,True,True
94,341,5,8,True,True
598,733,5,10,True,True
98,212,5,2,True,True
143,621,5,14,True,True
164,300,10,11,True,True
327,346,10,15,True,True
173,360,10,14,True,True
186,363,10,14,True,True
67,262,10,9,True,True
89,337,10,14,True,True
199,452,10,20,True,True
94,298,10,9,True,True
148,254,10,9,True,True
99,99,1,0,True,True
439,439,1,2,True,True
140,550,10,14,True,True
79,340,10,12,True,True
140,425,10,15,True,True
116,449,10,13,True,True
223,373,10,10,True,True
281,464,10,11,True,True
126,406,10,16,True,True
78,341,100,119,True,True
91,289,10,8,True,True
157,397,10,11,True,True
550,550,1,2,True,True
146,146,1,0,True,True
484,484,1,1,True,True
160,231,10,10,True,True
70,263,10,9,True,True
296,296,1,1,True,True
585,585,1,2,True,True
434,434,1,1,True,True
220,220,1,1,True,True
303,303,1,1,True,True
134,134,1,0,True,True
349,349,1,1,True,True
354,354,1,1,True,True
217,217,1,0,True,True
176,176,1,0,True,True
400,400,1,1,True,True
185,185,1,0,True,True
439,439,1,1,True,True
41,398,100,98,True,True
77,310,100,73,True,True
75,339,100,130,True,True
47,349,1000,1020,True,True
55.900000000000006% of the games was solved
