least,average,runs,runtime(sec)
1607,8236,100,1016
2962,2962,1,4
3728,8320,10,118
1296,7965,300,3613
1159,8268,300,3900
1330,6505,10,158
1123,7919,100,1493
2013,7342,10,63
9638,9860,4,32
2560,7949,20,152
2734,8313,20,159
9706,9706,1,1
9894,9894,1,1
2324,2324,1,1
0,10,1000,5
1069,7974,1000,6805
4435,4435,1,2
9148,9148,1,4
9343,9343,1,4
4367,4367,1,2
6201,6201,1,3
9607,9607,1,4
1472,1472,1,1
8527,8527,1,4
7721,7721,1,3
3011,3011,1,1
5881,5881,1,3
1790,8210,50,486
4725,4725,1,2
9701,9701,1,8
10227,10227,1,7
1358,6158,5,26
9562,9562,1,6
1725,6855,5,48
1607,8236,100,1016
2962,2962,1,4
3728,8320,10,118
1296,7965,300,3613
1884,8482,100,844
757,8133,1000,9003
7550,8706,2,8
6451,9011,5,22
### BREADTHFIRST RUNS
21,21,1,3
21,21,1,4
402,402,1,0
21,21,1,4
